sample	plant	soil	site	location	wt	grp1	grp2	grp3	grp4	grp5	ID	Soil	Plant	Tray	Date	Week	Presence	Leaves	Flowering	Adj.Week	root.length	root.dry	shoot.height	plant.height	shoot.wet	shoot.root	shoot.dry	plant.moist	pm.percent	lat_lon	plot
g-a-pla-7	Plantago	Autoclaved	.	greenhouse	0.14	pla.auto	g.auto	g.pla	g.pla.auto	sample	126	Autoclaved	Plantago	4	11/21/16	11	1	8	0	11	12.6	0.46	10.2	22.8	0.172	0.80952381	0.0284	0.1436	83.4883721	.	.
g-a-pla-8	Plantago	Autoclaved	.	greenhouse	0.2	pla.auto	g.auto	g.pla	g.pla.auto	sample	124	Autoclaved	Plantago	4	11/21/16	11	1	4	0	11	13.8	0.46	6.4	20.2	0.144	0.46376812	0.029	0.115	79.8611111	.	.
g-a-pla-9	Plantago	Autoclaved	.	greenhouse	0.22	pla.auto	g.auto	g.pla	g.pla.auto	sample	131	Autoclaved	Plantago	8	12/12/16	15	1	11	0	11	14.6	0.05	6	20.6	0.06	0.4109589	0.016	0.044	73.3333333	.	.
g-a-tri-1	Trifolium	Autoclaved	.	greenhouse	0.25	tri.auto	g.auto	g.tri	g.tri.auto	sample	154	Autoclaved	Trifolium	8	11/21/16	11	0	.	.	11	7.5	0.27	28	35.5	2.21	3.73333333	0.63	1.58	71.4932127	.	.
g-a-tri-10	Trifolium	Autoclaved	.	greenhouse	0.26	tri.auto	g.auto	g.tri	g.tri.auto	sample	160	Autoclaved	Trifolium	7	11/28/16	13	1	54	.	11	9.6	2.27	19	28.6	2.39	1.97916667	0.82	1.57	65.6903766	.	.
g-a-tri-2	Trifolium	Autoclaved	.	greenhouse	0.24	tri.auto	g.auto	g.tri	g.tri.auto	sample	144	Autoclaved	Trifolium	2	11/21/16	11	0	.	.	11	10	0.09	26	36	1.52	2.6	0.37	1.15	75.6578947	.	.
g-a-tri-3	Trifolium	Autoclaved	.	greenhouse	0.24	tri.auto	g.auto	g.tri	g.tri.auto	sample	149	Autoclaved	Trifolium	4	11/21/16	11	1	7	0	11	14.9	0.22	23	37.9	1.94	1.54362416	0.41	1.53	78.8659794	.	.
g-a-tri-4	Trifolium	Autoclaved	.	greenhouse	0.25	tri.auto	g.auto	g.tri	g.tri.auto	sample	145	Autoclaved	Trifolium	3	11/21/16	11	1	9	0	11	10.7	0.16	19.3	30	3.42	1.80373832	0.7	2.72	79.5321637	.	.
g-a-tri-5	Trifolium	Autoclaved	.	greenhouse	0.24	tri.auto	g.auto	g.tri	g.tri.auto	sample	152	Autoclaved	Trifolium	6	11/21/16	11	1	39	0	11	9.5	0.68	22	31.5	3.222	2.31578947	0.78	2.442	75.7914339	.	.
g-a-tri-6	Trifolium	Autoclaved	.	greenhouse	0.24	tri.auto	g.auto	g.tri	g.tri.auto	sample	161	Autoclaved	Trifolium	7	11/21/16	11	1	9	0	11	12	0.27	20	32	2.249	1.66666667	0.5	1.749	77.7678968	.	.
g-a-tri-7	Trifolium	Autoclaved	.	greenhouse	0.22	tri.auto	g.auto	g.tri	g.tri.auto	sample	158	Autoclaved	Trifolium	5	11/21/16	11	1	15	0	11	13	0.22	18	31	2.734	1.38461539	0.71	2.024	74.0307242	.	.
g-a-tri-8	Trifolium	Autoclaved	.	greenhouse	0.23	tri.auto	g.auto	g.tri	g.tri.auto	sample	142	Autoclaved	Trifolium	2	11/21/16	11	0	.	.	11	10.4	0.57	21.6	32	1.668	2.07692308	0.3993	1.2687	76.0611511	.	.
g-a-tri-9	Trifolium	Autoclaved	.	greenhouse	0.25	tri.auto	g.auto	g.tri	g.tri.auto	sample	156	Autoclaved	Trifolium	8	11/28/16	13	1	42	.	11	10.5	0.04	13	23.5	0.57	1.23809524	0.02	0.55	96.4912281	.	.
g-nss-1	Bulk	NSS	.	greenhouse	0.41	bulk.nss	g.nss	g.bulk	g.bulk.nss	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
g-nss-2	Bulk	NSS	.	greenhouse	0.22	bulk.nss	g.nss	g.bulk	g.bulk.nss	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
g-nss-3	Bulk	NSS	.	greenhouse	0.24	bulk.nss	g.nss	g.bulk	g.bulk.nss	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
g-nss-4	Bulk	NSS	.	greenhouse	0.54	bulk.nss	g.nss	g.bulk	g.bulk.nss	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
g-nss-gil-1	Gilia	NSS	.	greenhouse	0.25	gil.nss	g.nss	g.gil	g.gil.nss	sample	281	NSS	Gilia	4	11/21/16	11	1	8	.	11	12	9.1	13	25	2.776	1.08333333	0.48	2.296	82.7089337	.	.
g-nss-gil-10	Gilia	NSS	.	greenhouse	0.26	gil.nss	g.nss	g.gil	g.gil.nss	sample	273	NSS	Gilia	1	11/21/16	11	0	.	.	11	11.6	0.29	5.4	17	0.094	0.46551724	0.024	0.07	74.4680851	.	.
g-nss-gil-2	Gilia	NSS	.	greenhouse	0.21	gil.nss	g.nss	g.gil	g.gil.nss	sample	276	NSS	Gilia	2	11/21/16	11	1	1	.	11	15	0.43	7.5	22.5	0.342	0.5	0.049	0.293	85.6725146	.	.
g-nss-gil-3	Gilia	NSS	.	greenhouse	0.22	gil.nss	g.nss	g.gil	g.gil.nss	sample	274	NSS	Gilia	2	11/21/16	11	0	.	.	11	11.5	0.92	12	23.5	2.56	1.04347826	0.35	2.21	86.328125	.	.
g-nss-gil-4	Gilia	NSS	.	greenhouse	0.24	gil.nss	g.nss	g.gil	g.gil.nss	sample	275	NSS	Gilia	2	11/21/16	12	1	18	1	11	13	11.1	27.5	40.5	3.882	2.11538462	.	.	.	.	.
g-nss-gil-5	Gilia	NSS	.	greenhouse	0.26	gil.nss	g.nss	g.gil	g.gil.nss	sample	280	NSS	Gilia	4	11/21/16	11	1	10	.	11	12	5.09	10.5	22.5	2.217	0.875	0.33	1.887	85.1150203	.	.
g-nss-gil-6	Gilia	NSS	.	greenhouse	0.23	gil.nss	g.nss	g.gil	g.gil.nss	sample	278	NSS	Gilia	3	11/21/16	11	1	16	.	11	12	1.97	12.5	24.5	1.877	1.04166667	0.31	1.567	83.4842834	.	.
g-nss-gil-7	Gilia	NSS	.	greenhouse	0.21	gil.nss	g.nss	g.gil	g.gil.nss	sample	271	NSS	Gilia	1	11/21/16	11	0	.	.	11	9	0.49	8	17	0.137	0.88888889	0.028	0.109	79.5620438	.	.
g-nss-gil-8	Gilia	NSS	.	greenhouse	0.23	gil.nss	g.nss	g.gil	g.gil.nss	sample	292	NSS	Gilia	7	12/12/16	15	0		.	11	.	0.66	.	.	.	.	0.0624	.	.	.	.
g-nss-gil-9	Gilia	NSS	.	greenhouse	0.25	gil.nss	g.nss	g.gil	g.gil.nss	sample	290	NSS	Gilia	5	11/21/16	11	1	10	.	11	11.5	0.68	7.5	19	0.165	0.65217391	0.0193	0.1457	88.3030303	.	.
g-nss-pla-1	Plantago	NSS	.	greenhouse	0.19	pla.nss	g.nss	g.pla	g.pla.nss	sample	297	NSS	Plantago	1	11/21/16	11	1	17	0	11	11.5	0.42	4	15.5	0.009	0.34782609	.	.	.	.	.
g-nss-pla-10	Plantago	NSS	.	greenhouse	0.02	pla.nss	g.nss	g.pla	g.pla.nss	sample	307	NSS	Plantago	6	12/12/16	15	0	.	.	11	.	.	.	.		.	.	.	.	.	.
g-nss-pla-2	Plantago	NSS	.	greenhouse	0.09	pla.nss	g.nss	g.pla	g.pla.nss	sample	305	NSS	Plantago	4	11/21/16	11	1	15	0	11	12.1	0.51	3.2	15.3	0.032	0.26446281	0.0104	0.0216	67.5	.	.
g-nss-pla-3	Plantago	NSS	.	greenhouse	0.15	pla.nss	g.nss	g.pla	g.pla.nss	sample	309	NSS	Plantago	6	12/12/16	15	1	12	0	11	12.6	0	7.7	20.3	0.12	0.61111111	0.0273	0.0927	77.25	.	.
g-nss-pla-4	Plantago	NSS	.	greenhouse	0.22	pla.nss	g.nss	g.pla	g.pla.nss	sample	312	NSS	Plantago	8	11/21/16	11	0	.	.	11	13.5	0.48	6.5	20	0.001	0.48148148	.	.	.	.	.
g-nss-pla-5	Plantago	NSS	.	greenhouse	0.17	pla.nss	g.nss	g.pla	g.pla.nss	sample	298	NSS	Plantago	2	11/21/16	11	0	.	.	11	12	0.44	5	17	0.026	0.41666667	0.019	0.007	26.9230769	.	.
g-nss-pla-6	Plantago	NSS	.	greenhouse	0.2	pla.nss	g.nss	g.pla	g.pla.nss	sample	318	NSS	Plantago	7	11/21/16	11	1	4	0	11	0.5	0.41	7.5	8	0.026	15	0.0096	0.0164	63.0769231	.	.
g-nss-pla-7	Plantago	NSS	.	greenhouse	0.2	pla.nss	g.nss	g.pla	g.pla.nss	sample	295	NSS	Plantago	1	11/21/16	11	1	16	0	11	13	0.46	3.5	16.5	0.029	0.26923077	0.027	0.002	6.89655172	.	.
g-nss-pla-8	Plantago	NSS	.	greenhouse	0.23	pla.nss	g.nss	g.pla	g.pla.nss	sample	316	NSS	Plantago	7	12/12/16	15	1	7	0	11	9.5	0	5	14.5	0.022	0.52631579	0.0086	0.0134	60.9090909	.	.
g-nss-pla-9	Plantago	NSS	.	greenhouse	0.01	pla.nss	g.nss	g.pla	g.pla.nss	sample	306	NSS	Plantago	4	12/12/16	15	1	13	0	11	16.5	0	6.5	23	0.13	0.39393939	0.0345	0.0955	73.4615385	.	.
g-nss-tri-1	Trifolium	NSS	.	greenhouse	0.25	tri.nss	g.nss	g.tri	g.tri.nss	sample	339	NSS	Trifolium	5	11/21/16	11	1	18	0	11	11.2	0.23	18.8	30	1.369	1.67857143	0.37	0.999	72.972973	.	.
g-nss-tri-10	Trifolium	NSS	.	greenhouse	0.45	tri.nss	g.nss	g.tri	g.tri.nss	sample	325	NSS	Trifolium	3	11/21/16	11	1	18	0	11	10.5	.	24.5	35	2.916	2.33333333	0.6264	2.2896	78.5185185	.	.
g-nss-tri-2	Trifolium	NSS	.	greenhouse	0.23	tri.nss	g.nss	g.tri	g.tri.nss	sample	336	NSS	Trifolium	8	11/21/16	11	0	.	.	11	10.3	0.22	17.2	27.5	0.91	1.66990291	0.2	0.71	78.021978	.	.
g-nss-tri-3	Trifolium	NSS	.	greenhouse	0.39	tri.nss	g.nss	g.tri	g.tri.nss	sample	334	NSS	Trifolium	8	11/21/16	11	1	1	0	11	10.8	0.7	16.2	27	0.549	1.5	0.11	0.439	79.9635701	.	.
g-nss-tri-4	Trifolium	NSS	.	greenhouse	0.24	tri.nss	g.nss	g.tri	g.tri.nss	sample	341	NSS	Trifolium	7	11/28/16	13	1	51	.	11	14.5	0.38	12.5	27	0.91	0.86206897	0.49	0.42	46.1538462	.	.
g-nss-tri-5	Trifolium	NSS	.	greenhouse	0.26	tri.nss	g.nss	g.tri	g.tri.nss	sample	335	NSS	Trifolium	8	11/28/16	13	1	93	.	11	14.7	1.59	10.5	25.2	0.62	0.71428571	0.37	0.25	40.3225807	.	.
g-nss-tri-6	Trifolium	NSS	.	greenhouse	0.25	tri.nss	g.nss	g.tri	g.tri.nss	sample	337	NSS	Trifolium	5	11/28/16	13	1	60	.	11	11.3	0.72	13	24.3	0.99	1.15044248	0.12	0.87	87.8787879	.	.
g-nss-tri-7	Trifolium	NSS	.	greenhouse	0.25	tri.nss	g.nss	g.tri	g.tri.nss	sample	330	NSS	Trifolium	4	11/28/16	13	1	69	1	11	8.5	3.13	19	27.5	0.79	2.23529412	0.29	0.5	63.2911392	.	.
g-nss-tri-8	Trifolium	NSS	.	greenhouse	0.26	tri.nss	g.nss	g.tri	g.tri.nss	sample	322	NSS	Trifolium	2	11/28/16	13	1	24	.	11	11.2	.	17.3	28.5	0.22	1.54464286	0.084	0.136	61.8181818	.	.
g-nss-tri-9	Trifolium	NSS	.	greenhouse	0.06	tri.nss	g.nss	g.tri	g.tri.nss	sample	328	NSS	Trifolium	4	11/28/16	13	0	.	.	11	.	0.15	.	.	.	.	.	.	.	.	.
g-s-1	Bulk	Serpentine	.	greenhouse	0.31	bulk.serp	g.serp	g.bulk	g.bulk.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
g-s-2	Bulk	Serpentine	.	greenhouse	0.23	bulk.serp	g.serp	g.bulk	g.bulk.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
g-s-3	Bulk	Serpentine	.	greenhouse	0.21	bulk.serp	g.serp	g.bulk	g.bulk.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
g-s-4	Bulk	Serpentine	.	greenhouse	0.21	bulk.serp	g.serp	g.bulk	g.bulk.serp	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
g-s-gil-1	Gilia	Serpentine	.	greenhouse	0.25	gil.serp	g.serp	g.gil	g.gil.serp	sample	13	Serpentine	Gilia	6	11/21/16	11	1	14	0	11	18	1.73	15	33	2.316	0.83333333	0.48	1.836	79.2746114	.	.
g-s-gil-10	Gilia	Serpentine	.	greenhouse	0.13	gil.serp	g.serp	g.gil	g.gil.serp	sample	37	Serpentine	Plantago	6	12/12/16	15	1	9	0	11	12.8	0	3.4	16.2	0.02	0.265625	0.007	0.013	65	.	.
g-s-gil-2	Gilia	Serpentine	.	greenhouse	0.23	gil.serp	g.serp	g.gil	g.gil.serp	sample	16	Serpentine	Gilia	8	11/21/16	11	1	8	0	11	13.5	0.33	10.5	24	1.851	0.77777778	0.19	1.661	89.7352782	.	.
g-s-gil-3	Gilia	Serpentine	.	greenhouse	0.31	gil.serp	g.serp	g.gil	g.gil.serp	sample	6	Serpentine	Gilia	2	11/21/16	12	1	17	.	11	13.5	6.25	11	24.5	2.148	0.81481481	.	.	.	.	.
g-s-gil-4	Gilia	Serpentine	.	greenhouse	0.23	gil.serp	g.serp	g.gil	g.gil.serp	sample	14	Serpentine	Gilia	6	11/21/16	11	1	18	0	11	10.5	0.46	7	17.5	0.41	0.66666667	0.0554	0.3546	86.4878049	.	.
g-s-gil-5	Gilia	Serpentine	.	greenhouse	0.25	gil.serp	g.serp	g.gil	g.gil.serp	sample	20	Serpentine	Gilia	5	11/21/16	11	1	28	0	11	19	0.45	9.5	28.5	0.521	0.5	0.059	0.462	88.6756238	.	.
g-s-gil-6	Gilia	Serpentine	.	greenhouse	0.23	gil.serp	g.serp	g.gil	g.gil.serp	sample	10	Serpentine	Gilia	4	11/21/16	11	0	.	.	11	6.5	0.5	7	13.5	0.154	1.07692308	0.0178	0.1362	88.4415584	.	.
g-s-gil-7	Gilia	Serpentine	.	greenhouse	0.23	gil.serp	g.serp	g.gil	g.gil.serp	sample	18	Serpentine	Gilia	8	11/21/16	11	1	10	0	11	12.5	7.46	16.5	29	3.353	1.32	0.52	2.833	84.4915002	.	.
g-s-gil-8	Gilia	Serpentine	.	greenhouse	0.17	gil.serp	g.serp	g.gil	g.gil.serp	sample	15	Serpentine	Gilia	6	12/5/16	14	1	13	0	11	16.1	0.68	11.2	27.3	0.79	0.69565217	0.09	0.7	88.6075949	.	.
g-s-gil-9	Gilia	Serpentine	.	greenhouse	0.06	gil.serp	g.serp	g.gil	g.gil.serp	sample	2	Serpentine	Gilia	1	12/5/16	14	1	9	0	11	17.3	0	8.2	25.5	0.28	0.47398844	0.02	0.26	92.8571429	.	.
g-s-pla-1	Plantago	Serpentine	.	greenhouse	0.15	pla.serp	g.serp	g.pla	g.pla.serp	sample	27	Serpentine	Plantago	1	11/21/16	11	1	23	0	11	13	0.41	3.2	16.2	0.011	0.24615385	0.0047	0.0063	57.2727273	.	.
g-s-pla-10	Plantago	Serpentine	.	greenhouse	0.26	pla.serp	g.serp	g.pla	g.pla.serp	sample	19	Serpentine	Gilia	5	12/5/16	14	1	11	0	11	7	0	4.5	11.5	0.13	0.64285714	0.02	0.11	84.6153846	.	.
g-s-pla-2	Plantago	Serpentine	.	greenhouse	0.2	pla.serp	g.serp	g.pla	g.pla.serp	sample	28	Serpentine	Plantago	2	11/21/16	11	1	10	0	11	18	0.51	14	32	0.745	0.77777778	0.09	0.655	87.9194631	.	.
g-s-pla-3	Plantago	Serpentine	.	greenhouse	0.24	pla.serp	g.serp	g.pla	g.pla.serp	sample	34	Serpentine	Plantago	4	12/12/16	15	1	16	0	11	16	0	5	21	0.16	0.3125	0.0393	0.1207	75.4375	.	.
g-s-pla-4	Plantago	Serpentine	.	greenhouse	0.03	pla.serp	g.serp	g.pla	g.pla.serp	sample	43	Serpentine	Plantago	5	12/12/16	15	1	11	0	11	12	0	7	19	0.11	0.58333333	0.0308	0.0792	72	.	.
g-s-pla-5	Plantago	Serpentine	.	greenhouse	0.12	pla.serp	g.serp	g.pla	g.pla.serp	sample	39	Serpentine	Plantago	6	12/5/16	14	1	14	0	11	15.6	0	8.3	23.9	0.25	0.53205128	0.05	0.2	80	.	.
g-s-pla-6	Plantago	Serpentine	.	greenhouse	0.01	pla.serp	g.serp	g.pla	g.pla.serp	sample	25	Serpentine	Plantago	1	12/12/16	15	1	10	0	11	.	0.04	.	18	0.044	.	0.0112	0.0328	74.5454546	.	.
g-s-pla-7	Plantago	Serpentine	.	greenhouse	0.01	pla.serp	g.serp	g.pla	g.pla.serp	sample	29	Serpentine	Plantago	2	12/12/16	15	1	6	0	11	2.1	0.01	3	5.1	0.0093	1.42857143	0.0049	0.0044	47.311828	.	.
g-s-pla-8	Plantago	Serpentine	.	greenhouse	0.02	pla.serp	g.serp	g.pla	g.pla.serp	sample	42	Serpentine	Plantago	8	12/5/16	14	1	6	0	11	.	0	.	.	.	.	0.0105	.	.	.	.
g-s-pla-9	Plantago	Serpentine	.	greenhouse	0.05	pla.serp	g.serp	g.pla	g.pla.serp	sample	44	Serpentine	Plantago	5	12/12/16	15	1	16	0	11	.	0.08	7.5	.	0.26	.	0.0712	0.1888	72.6153846	.	.
g-s-tri-1	Trifolium	Serpentine	.	greenhouse	0.24	tri.serp	g.serp	g.tri	g.tri.serp	sample	63	Serpentine	Trifolium	6	11/21/16	11	1	16	0	11	12	0.94	21.5	33.5	1.51	1.79166667	0.36	1.15	76.1589404	.	.
g-s-tri-10	Trifolium	Serpentine	.	greenhouse	0.26	tri.serp	g.serp	g.tri	g.tri.serp	sample	60	Serpentine	Trifolium	4	11/28/16	13	1	82	.	11	13.5	1.9	14.5	28	1.37	1.07407407	0.22	1.15	83.9416058	.	.
g-s-tri-2	Trifolium	Serpentine	.	greenhouse	0.24	tri.serp	g.serp	g.tri	g.tri.serp	sample	55	Serpentine	Trifolium	3	11/21/16	11	1	27	0	11	10.5	0.27	22.5	33	2.012	2.14285714	.	.	.	.	.
g-s-tri-3	Trifolium	Serpentine	.	greenhouse	0.23	tri.serp	g.serp	g.tri	g.tri.serp	sample	57	Serpentine	Trifolium	3	11/21/16	11	1	21	0	11	18.5	0.26	16	34.5	1.81	0.86486486	0.4827	1.3273	73.3314917	.	.
g-s-tri-4	Trifolium	Serpentine	.	greenhouse	0.23	tri.serp	g.serp	g.tri	g.tri.serp	sample	66	Serpentine	Trifolium	8	11/21/16	11	1	7	0	11	12.5	0.54	19.5	32	1.613	1.56	.	.	.	.	.
g-s-tri-5	Trifolium	Serpentine	.	greenhouse	0.23	tri.serp	g.serp	g.tri	g.tri.serp	sample	62	Serpentine	Trifolium	6	11/21/16	11	1	21	0	11	11.5	.	22	33.5	2.559	1.91304348	0.47	2.089	81.6334506	.	.
g-s-tri-6	Trifolium	Serpentine	.	greenhouse	0.24	tri.serp	g.serp	g.tri	g.tri.serp	sample	67	Serpentine	Trifolium	5	11/21/16	11	1	75	1	11	10.5	4.87	23.5	34	2.982	2.23809524	0.82	2.162	72.5016767	.	.
g-s-tri-7	Trifolium	Serpentine	.	greenhouse	0.25	tri.serp	g.serp	g.tri	g.tri.serp	sample	58	Serpentine	Trifolium	4	11/21/16	11	0	.	.	11	14	0.14	22	36	1.344	1.57142857	0.29	1.054	78.4226191	.	.
g-s-tri-8	Trifolium	Serpentine	.	greenhouse	0.24	tri.serp	g.serp	g.tri	g.tri.serp	sample	56	Serpentine	Trifolium	3	11/21/16	11	1	132	0	11	19	0.11	13	32	1.417	0.68421053	0.44	0.977	68.9484827	.	.
g-s-tri-9	Trifolium	Serpentine	.	greenhouse	0.26	tri.serp	g.serp	g.tri	g.tri.serp	sample	71	Serpentine	Trifolium	7	11/28/16	13	1	47	.	11	16.2	0.13	17.9	34.1	1.66	1.10493827	0.61	1.05	63.2530121	.	.
g-ss-1	Bulk	SS	.	greenhouse	0.31	bulk.serp	g.ss	g.bulk	g.bulk.ss	sample	.	.	.	.		.						.					.	.	.	.	.
g-ss-2	Bulk	SS	.	greenhouse	0.17	bulk.serp	g.ss	g.bulk	g.bulk.ss	sample	.	.	.	.		.						.					.	.	.	.	.
g-ss-3	Bulk	SS	.	greenhouse	0.43	bulk.serp	g.ss	g.bulk	g.bulk.ss	sample	.	.	.	.		.						.					.	.	.	.	.
g-ss-gil-1	Gilia	SS	.	greenhouse	0.24	gil.ss	g.ss	g.gil	g.gil.ss	sample	199	SS	Gilia	5	11/21/16	11	1	128	1	11	12	0.14	11	23	0.833	0.91666667	0.03	0.803	96.3985594	.	.
g-ss-gil-10	Gilia	SS	.	greenhouse	0.26	gil.ss	g.ss	g.gil	g.gil.ss	sample	194	SS	Gilia	6	11/28/16	13	1	11	.	11	13.3	1.75	11.9	25.2	1.13	0.89473684	0.12	1.01	89.380531	.	.
g-ss-gil-2	Gilia	SS	.	greenhouse	0.25	gil.ss	g.ss	g.gil	g.gil.ss	sample	184	SS	Gilia	2	11/21/16	11	1	7	0	11	10.5	4.65	12	22.5	2.157	1.14285714	0.35	1.807	83.7737599	.	.
